,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Rom,Tomteareal,Kommunale avg.,Bruttoareal,Tomt,Grunnflate,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Utleiedel
821,https://www.finn.no/realestate/homes/ad.html?finnkode=201245290,Nordstrand - Pent oppusset enderekkehus over 3 plan. Fantastisk beliggende med panoramautsikt over Oslofjorden.,"Åsdalsveien 3B, 1166 Oslo",9350000,Rekkehus,Eier (Selveier),3,101 m²,101.0,3,1963,G -oransje,,235 124 kr,9585124.0,2 163 kr,,,,,,,,,,
822,https://www.finn.no/realestate/homes/ad.html?finnkode=204199431,Lys 4-roms toppleilighet med privat takterrasse på 25 kvm| Garasje| Vv. og fyring inkl.|Pen utsikt| Usjernert & sentralt,"Gladengveien 15D, 0661 Oslo",7500000,Leilighet,Eier (Selveier),3,90 m²,90.0,8,2012,D -mørkegrønn,,196 520 kr,7696520.0,5 203 kr,,,,,,,,,,
823,https://www.finn.no/realestate/homes/ad.html?finnkode=205078278,Hjørneleilighet i toppetasje- Solrik takterrasse med utsikt - Hems - Gulvareal på 70 kvm - VV  inkl - Nærhet til alt!,"Mandalls gate 7 A, 0190 Oslo",4800000,Leilighet,Andel,1,59 m²,59.0,5,1889,G -rød,,8 032 kr,4808032.0,3 471 kr,,,,,,,,,,
824,https://www.finn.no/realestate/homes/ad.html?finnkode=204794853,"Lys, luftig & gjennomgående 3-roms selveiet toppleil | 7,5 m² vestvendt, solrik balkong | Vedovn | Idyllisk felleshage","Thereses gate 5 A, 0358 Oslo",7700000,Leilighet,Eier (Selveier),2,88 m²,88.0,4,1927,G -oransje,,201 519 kr,7901519.0,4 172 kr,,,,,,,,,,
825,https://www.finn.no/realestate/homes/ad.html?finnkode=204658685,1- roms toppleilighet- Perfekt førstegangsleilighet- og utleiebolig. - Heis - Varmtvann & fyr inkl.,"Sognsveien 2, 0451 Oslo",3100000,Leilighet,Eier (Selveier),,30 m²,30.0,5,,G -mørkegrønn,12 238 kr,86 820 kr,3199058.0,1 992 kr,,1184 m² (eiet),,33 m²,,,,,,
826,https://www.finn.no/realestate/homes/ad.html?finnkode=205079539,Garasjeplass - Rodeløkka/Grünerløkka - Chokoladrfabrikken,"Malmøgata 11, 0566 Oslo",400000,Garasje/Parkering,Eier (Selveier),0,12 m²,12.0,,2014,,,5 000 kr,405000.0,300 kr,,,,,,,,,,
827,https://www.finn.no/realestate/homes/ad.html?finnkode=203972854,"Krydderhagen/ Løren- Moderne 2 roms leilighet med meget gode lysforhold, god planløsning, utsikt, sydvestvendt balkong","Bøkkerveien 26, 0579 Oslo",2650000,Leilighet,Andel,1,43 m²,43.0,6,2017,B -mørkegrønn,1 748 436 kr,8 010 kr,4406446.0,8 783 kr,,,,,,,,,,
828,https://www.finn.no/realestate/homes/ad.html?finnkode=204712809,Herlig 2-roms andelsleilighet i Søylegården - Stort spisekjøkken - Peis - Lave omkost. - Ikke forkjøpsrett,"Knud Graahs gate 8, 0481 Oslo",3960000,Leilighet,Andel,1,52 m²,53.0,2,1926,F -oransje,61 000 kr,8 060 kr,4029060.0,3 286 kr,,,,,,,,,,
829,https://www.finn.no/realestate/homes/ad.html?finnkode=204707769,"Lys og romslig 4-R selveier over 2-plan, med to balkonger og flott utsikt - Lekkert HTH kjøkken fra 2017 - Garasjeplass","Ulvenveien 125D, 0665 Oslo",3750000,Leilighet,Eier (Selveier),3,97 m²,97.0,4,1982,F -rød,669 000 kr,111 847 kr,4530847.0,7 777 kr,,,,,,,,,,
830,https://www.finn.no/realestate/homes/ad.html?finnkode=203269602,"Lys og moderne 3-roms selveier fra 2013, med solrik balkong og takterrasse, garasjeplass og gangavstand til det meste","Maridalsveien 17, 0178 Oslo",7500000,Leilighet,Eier (Selveier),2,75 m²,75.0,2,2013,C -mørkegrønn,,199 070 kr,7699070.0,4 063 kr,,,,,,,,,,
