,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Tomteareal,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Rom,Kommunale avg.,Pris med fellesgjeld,Grunnflate,Tomt,Bruttoareal,Utleiedel,Solgtpris,Boligselgerforsikring,Renovert år
596,https://www.finn.no/realestate/homes/ad.html?finnkode=169563575,Adamstuen: Stor og gjennomgående 4-roms leilighet med 3 soverom og god planløsning. Ikke dok. avgift eller forkjøpsrett.,"Ullevålsveien 81, 0454 Oslo",6950000,Leilighet,Aksje,3,95 m²,95.0,1,,,148 000 kr,19 248 kr,7117248.0,4 675 kr,,4,,,,Eiet,,,,,
597,https://www.finn.no/realestate/homes/ad.html?finnkode=203692191,Pen 3-roms med kjøkken fra 2014 - Trivelig balkong - Vv/fyring inkl. - Attraktiv beliggenhet - Nær marka og off.komm,"Olav Nygards veg 47, 0688 Oslo",3900000,Leilighet,Andel,2,67 m²,68.0,4,1961,,82 575 kr,8 658 kr,3991233.0,4 063 kr,G -mørkegrønn,,,,,,,,,,
598,https://www.finn.no/realestate/homes/ad.html?finnkode=203373385,Moderne og lys 2-roms | Hjørneleilighet | Oppgradert i 2015 | Sydøstvendt balkong | Fantastisk beliggenhet,"Uranienborgveien 26, 0259 Oslo",6700000,Leilighet,Eier (Selveier),1,72 m²,72.0,3,1895,,,168 842 kr,6868842.0,4 946 kr,G -mørkegrønn,,,,,,,,,,
599,https://www.finn.no/realestate/homes/ad.html?finnkode=204064164,"Stilren og lekker 2-roms selveier. Nyere kjøkken (2016). Rolig beliggenhet. Klassiske detaljer. Takhøyde 2,8 m","Herman Foss' gate 12B, 0171 Oslo",4650000,Leilighet,Eier (Selveier),1,52 m²,52.0,4,1898,,87 476 kr,128 062 kr,4865538.0,3 382 kr,G -rød,,,,,,,,,,
600,https://www.finn.no/realestate/homes/ad.html?finnkode=204730162,VISNING AVLYST! BUD GITT DIREKTE TIL SELGER AKSEPTERT! Lekker 4-roms leilighet på 125 BRA - To bad - Stor balkong med fa,"Ryenbergveien 73A, 0677 Oslo",8800000,Leilighet,Eier (Selveier),3,105 m²,125.0,4,2000,,,229 642 kr,9029642.0,5 285 kr,E -rød,,,,,,,,,,
601,https://www.finn.no/realestate/homes/ad.html?finnkode=198877719,"Lys og klassisk 3-roms med stukkatur |""Alt"" rett rundt hjørnet |Soverom mot bakgård |Ildsted |Nymalt okt. 2020","Thorvald Meyers gate 48A, 0552 Oslo",6000000,Leilighet,Andel,2,77 m²,77.0,2,1898,,77 494 kr,1 132 kr,6078626.0,4 166 kr,F -oransje,,,,,,,,,,
602,https://www.finn.no/realestate/homes/ad.html?finnkode=204661190,Tiltalende 2-roms leil. med solrik balkong og nytt kjøkken. Meget bra belig. m/Østmarka og matbutikk rett utenfor døren.,"Vetlandsveien 61B, 0685 Oslo",3350000,Leilighet,Andel,1,56 m²,56.0,3,1958,,34 000 kr,8 626 kr,3392626.0,3 597 kr,F -lysegrønn,,,,,,,,,,
603,https://www.finn.no/realestate/homes/ad.html?finnkode=204695602,"""Flytt rett inn!"" - Lekker 4-roms leilighet - Omfattende oppusset i 2014 - innglasset og solrik balkong - P-plass.","Haugerudveien 52, 0674 Oslo",4250000,Leilighet,Andel,3,92 m²,99.0,2,1966,,125 000 kr,15 554 kr,4390554.0,5 365 kr,D -mørkegrønn,,,,,,,,,,
604,https://www.finn.no/realestate/homes/ad.html?finnkode=199881156,Nyere 2-roms leilighet. Garasjeplass. Heis til garasje og senteret. Solrik balkong. Rett ved marka og off.komm. IN-ordn.,"Vetlandsveien 121, 0686 Oslo",2500000,Leilighet,Andel,1,47 m²,47.0,3,2018,,1 450 000 kr,15 385 kr,3965385.0,4 327 kr,B -lysegrønn,,,,,,,,,,
605,https://www.finn.no/realestate/homes/ad.html?finnkode=204696547,VISNING AVLYST ETTER DIREKTE BUD,"Låveveien 50, 0682 Oslo",3400000,Leilighet,Eier (Selveier),2,54 m²,56.0,4,1967,,43 852 kr,110 089 kr,3553941.0,3 148 kr,F -rød,,,,,,,,,,
606,https://www.finn.no/realestate/homes/ad.html?finnkode=203932654,"Strøken, lys og eksklusiv 3-roms hjørneleil. i 14.etasje | 2 balkonger på totalt 22 kvm. & spektakulær utsikt | Må sees!","Trelastgata 27, 0191 Oslo",7900000,Leilighet,Eier (Selveier),2,67 m²,68.0,14,2016,,,209 042 kr,8109042.0,5 287 kr,C -mørkegrønn,,,,,,,,,,
607,https://www.finn.no/realestate/homes/ad.html?finnkode=149567615,"Sjelfull 3-roms aksjeleilighet med masse lys | Heisadkomst, god takhøyde og klassiske detaljer | Rolig beliggenhet.","Erling Skjalgssons gate 23A, 0267 Oslo",7200000,Leilighet,Aksje,2,80 m²,80.0,2,1922,,9 139 kr,10 094 kr,7219233.0,3 037 kr,F -oransje,,,,,,,,,,
608,https://www.finn.no/realestate/homes/ad.html?finnkode=203002255,"Stor, lys og gjennomført 2-roms - Gangavstand til alle servicetilbud - Balkong - Her kan du flytte rett inn!","Helgesens gate 81B, 0563 Oslo",4250000,Leilighet,Aksje,1,58 m²,58.0,1,1952,,242 000 kr,19 248 kr,4511248.0,3 159 kr,F -oransje,,,,,,,,,,
609,https://www.finn.no/realestate/homes/ad.html?finnkode=193154611,"Stor, herskapelig villaeiendom - Hovedhus, portnerbolig og dobbel garasje - En sjeldenhet med flott beliggenhet","Eckersbergs gate 47, 0266 Oslo",125000000,Enebolig,Eier (Selveier),,594 m²,758.0,,1918,1299 m² (eiet),,3 140 642 kr,128140642.0,,,,36 744 kr per år,,,,850 m²,,,Ja,
