,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Tomt,Tomteareal,Kommunale avg.,Bruttoareal,Rom,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Grunnflate,Festeavgift,Utleiedel
26,https://www.finn.no/realestate/homes/ad.html?finnkode=205509009,"EIKEHEIA - Lys og lekker enebolig med flott kjøkken, 3 lekre bad og hybel/ leie 6000 per mnd","Eiketjønnveien 18A, 4640 Søgne",3990000,Enebolig,Eier (Selveier),4,172 m²,177.0,,2010,B -gul,,115 420 kr,4105420.0,,,559 m² (eiet),8 675 kr per år,,,,,,,,
27,https://www.finn.no/realestate/homes/ad.html?finnkode=205478974,Kvadraturen / Kvartal 35  | Sentral 2-roms | Nyere kjøkken | Felles bakgård og takterrasse,"Tollbodgata 73 B, 4614 Kristiansand S",950000,Leilighet,Andel,1,39 m²,39.0,1,1887,,333 334 kr,12 757 kr,1296091.0,3 353 kr,,2799 m² (eiet),,,,,,,,,
28,https://www.finn.no/realestate/homes/ad.html?finnkode=205488239,Påmeldingsvisning onsdag 27.jan kl 16-17 av 3-roms selveierleilighet i 4. etg.m/balkong - Krossen/Suldalen,"Suldalsveien 51, 4617 Kristiansand S",1300000,Leilighet,Eier (Selveier),2,63 m²,63.0,,1959,G -oransje,142 900 kr,37 220 kr,1480120.0,4 300 kr,,4541 m² (eiet),2 680 kr per år,,,,,,,,
29,https://www.finn.no/realestate/homes/ad.html?finnkode=205501773,"Spennende eiendom på ""Solsletta II"". Enebolig, dobbel garasje, stall, hagestue og hytte! VISN 28.1. PÅMELDING","Tveideveien 298, 4760 Birkeland",3690000,Enebolig,Eier (Selveier),4,162 m²,205.0,,1930,,,103 892 kr,3793892.0,,,2148 m² (eiet),,225 m²,,,,,,,
30,https://www.finn.no/realestate/homes/ad.html?finnkode=205472055,NYHET - VISN ONS 3. FEB - Flott del av tomannsbolig fra 2010 på Fjellro | 4 soverom | Barnevennlig | Carport | Sentralt,"Tjernstien 3C, 4628 Kristiansand S",2490000,Tomannsbolig,Eier (Selveier),4,112 m²,117.0,,2010,,,73 892 kr,2563892.0,,,169 m² (eiet),9 863 kr per år,127 m²,,,,,,,
31,https://www.finn.no/realestate/homes/ad.html?finnkode=205490094,Innbydende selveierleilighet med endebeliggenhet - Trappefri adkomst - Terrasse med sjøutsikt - Nyere bad og kjøkken,"Vindholmheia 20, 4842 Arendal",1790000,Leilighet,Eier (Selveier),2,69 m²,89.0,,1995,F -oransje,,56 320 kr,1846320.0,,,643 m² (eiet),13 451 kr per år,,,,,,,,
32,https://www.finn.no/realestate/homes/ad.html?finnkode=184963176,Påmeldingsvisning lør. 30/1 kl. 14:30 - Flott loftsleilighet - 3 soverom - Peisovn - Parkering - Gåavstand til Uia,"Storgaten 60 D, 4877 Grimstad",2690000,Leilighet,Eier (Selveier),3,62 m²,62.0,2,1850,D -oransje,,78 820 kr,2768820.0,500 kr,,,7 550 kr per år,,,,,,,,
33,https://www.finn.no/realestate/homes/ad.html?finnkode=205473445,Romslig andel i rekke over to plan med en romslig stue og utgang til solrik veranda,"Gislemyrveien 7A, 4621 Kristiansand S",1850000,Leilighet,Andel,3,88 m²,96.0,,1961,F -gul,46 521 kr,15 553 kr,1912074.0,2 850 kr,,1148 m² (eiet),,,,,,,,,
34,https://www.finn.no/realestate/homes/ad.html?finnkode=205480230,Påmeldingsvisning søn. 31/1 kl. 14:30 - Lekker loftsleilighet med privat takterrasse på ca. 26 kvm mot stille bakgård -,"Torvgaten 8-10 Leil. 1, 4836 Arendal",2990000,Leilighet,Eier (Selveier),2,76 m²,79.0,,2019,D -rød,,86 320 kr,3076320.0,1 290 kr,,422 m² (eiet),,,,,,,,,
35,https://www.finn.no/realestate/homes/ad.html?finnkode=205478985,Kvadraturen / Kvartal 35 | 2-roms med moderniseingsbehov | Felles bakgård og takterrasse,"Tollbodgata 73 B, 4614 Kristiansand S",850000,Leilighet,Andel,1,38 m²,38.0,1,1887,,332 239 kr,12 757 kr,1194996.0,3 353 kr,,2799 m² (eiet),,,,,,,,,
